CoverageKey,Domain,Area,CoverageStatus,CurrentEvidence,OpenQuestion,Disposition,Priority,SuggestedOwner,VersionPlatform,PrimarySource
"SCHEMA_CONSTRAINTS","DATA_FEATURES","Objects dependencies constraints identities and sequences","IMPLEMENTED_DEEP","USP_ObjectInventory USP_ObjectAnalysis and USP_SchemaDesignAnalysis","No automatic DDL is produced","KEEP","P1","Existing object modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-catalog-views/object-catalog-views-transact-sql?view=sql-server-ver17"
"PARTITION_COMPRESSION","DATA_FEATURES","Partitioning row page and columnstore compression","IMPLEMENTED_DEEP","USP_Partitions USP_ObjectInventory and USP_Columnstore","Compression benefit requires workload context","KEEP","P1","Existing object modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/partitions/partitioned-tables-and-indexes?view=sql-server-ver17"
"TEMPORAL_TABLES","DATA_FEATURES","System-versioned temporal configuration capacity and history indexes","IMPLEMENTED_DEEP","USP_TemporalAnalysis","Row consistency and cleanup proof remain outside metadata","KEEP","P2","USP_TemporalAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/tables/temporal-tables?view=sql-server-ver17"
"IN_MEMORY_OLTP","DATA_FEATURES","Memory-optimized tables indexes memory checkpoint and transactions","IMPLEMENTED_DEEP","USP_InMemoryOltpAnalysis","External storage durability still needs recovery evidence","KEEP","P2","USP_InMemoryOltpAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/in-memory-oltp/overview-and-usage-scenarios?view=sql-server-ver17"
"FULL_TEXT","DATA_FEATURES","Full-Text catalogs populations fragments host and memory","IMPLEMENTED_DEEP","USP_FullTextAnalysis","Indexed content and crawl-log text remain excluded","KEEP","P2","USP_FullTextAnalysis","SQL Server 2019+ optional component","https://learn.microsoft.com/en-us/sql/relational-databases/search/full-text-search?view=sql-server-ver17"
"SQL_CLR","DATA_FEATURES","CLR configuration assemblies host appdomains tasks and memory","IMPLEMENTED_DEEP","USP_ClrAnalysis","Positive SAFE-assembly evidence remains RUNTIME-001","COMPLETE_EXISTING","P2","RUNTIME-001","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/clr-integration/clr-integration-overview?view=sql-server-ver17"
"EXTERNAL_RUNTIME","DATA_FEATURES","External languages libraries Launchpad pools and requests","IMPLEMENTED_DEEP","USP_ExternalRuntimeAnalysis","Positive enabled-runtime evidence remains RUNTIME-001","COMPLETE_EXISTING","P2","RUNTIME-001","SQL Server 2019+ optional component","https://learn.microsoft.com/en-us/sql/machine-learning/concepts/extensibility-framework?view=sql-server-ver17"
"GRAPH_DEEP","DATA_FEATURES","Graph node edge constraints indexes and workload evidence","IMPLEMENTED_BASELINE","USP_SpecialFeatureInventory detects graph objects","No graph-specific health or MATCH-plan diagnostics","DOSSIER_CANDIDATE","P3","USP_ObjectAnalysis extension","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/graphs/sql-graph-architecture?view=sql-server-ver17"
"SPATIAL_DEEP","DATA_FEATURES","Spatial indexes tessellation and workload evidence","IMPLEMENTED_BASELINE","Special feature and object inventories detect spatial types and indexes","No spatial-index-specific health or selectivity diagnostics","DOSSIER_CANDIDATE","P3","USP_ObjectAnalysis extension","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/spatial/create-modify-and-drop-spatial-indexes?view=sql-server-ver17"
"XML_DEEP","DATA_FEATURES","XML indexes compression schema collections and workload evidence","IMPLEMENTED_BASELINE","USP_SpecialFeatureInventory and object indexes detect XML objects","No XML index hierarchy compression or workload diagnostics","DOSSIER_CANDIDATE","P3","USP_ObjectAnalysis extension","SQL Server 2019+ XML compression 2022+","https://learn.microsoft.com/en-us/sql/relational-databases/xml/xml-indexes-sql-server?view=sql-server-ver17"
"JSON_NATIVE","DATA_FEATURES","Native JSON type functions indexes and migration evidence","IMPLEMENTED_BASELINE","SQL25-002 inventories JSON indexes and native type use","No workload or JSON-type migration diagnostics","DOSSIER_CANDIDATE","P3","USP_ObjectAnalysis extension","SQL Server 2025","https://learn.microsoft.com/en-us/sql/relational-databases/json/json-data-sql-server?view=sql-server-ver17"
"VECTOR_SEARCH","DATA_FEATURES","Vector type indexes runtime maintenance and search","IMPLEMENTED_DEEP","USP_VectorIndexAnalysis and SQL25-001","Model endpoint semantics remain WI-0007","KEEP","P2","USP_VectorIndexAnalysis","SQL Server 2025","https://learn.microsoft.com/en-us/sql/relational-databases/vectors/sql-server-native-vector-search?view=sql-server-ver17"
"EXTERNAL_MODELS","DATA_FEATURES","External AI model object inventory","RESEARCHED_NOT_IMPLEMENTED","WI-0007 is researched","Implement aggregate detection without endpoint or credential disclosure","REGISTERED_ROADMAP","P2","WI-0007","SQL Server 2025","https://learn.microsoft.com/en-us/sql/relational-databases/system-catalog-views/sys-external-models-transact-sql?view=sql-server-ver17"
"POLICY_BASED_MANAGEMENT","OPERATIONS","Policy-Based Management configuration evaluation and history","RESEARCHED_NOT_IMPLEMENTED","Agent and msdb modules do not inspect PBM policies","Inventory policies conditions categories evaluation modes and recent result status without enforcing policy","DOSSIER_CANDIDATE","P2","USP_AgentMonitoringAnalysis or dedicated module","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/policy-based-management/administer-servers-by-using-policy-based-management?view=sql-server-ver17"
"SQL_AGENT_AUTOMATION","OPERATIONS","Agent jobs schedules alerts operators and Database Mail","IMPLEMENTED_DEEP","USP_AgentJobs USP_AgentStatus and USP_AgentMonitoringAnalysis","Credentials and proxy privilege mapping need security review","KEEP","P1","Existing Agent modules","SQL Server platforms with Agent","https://learn.microsoft.com/en-us/sql/ssms/agent/sql-server-agent?view=sql-server-ver17"
"AGENT_PROXIES_CREDENTIALS","OPERATIONS","SQL Agent proxies credentials subsystems and privilege reach","RESEARCHED_NOT_IMPLEMENTED","Agent modules focus execution status alerts and schedules","Map proxy subsystem and credential dependencies without exposing identity secrets","DOSSIER_CANDIDATE","P2","USP_AgentMonitoringAnalysis extension","SQL Server Agent","https://learn.microsoft.com/en-us/sql/ssms/agent/create-a-sql-server-agent-proxy?view=sql-server-ver17"
"ERROR_LOGS","OPERATIONS","SQL Server and Agent error-log categorization","IMPLEMENTED_DEEP","USP_ErrorLogAnalysis","Full messages remain opt-in and bounded","KEEP","P1","USP_ErrorLogAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-stored-procedures/sp-readerrorlog-transact-sql?view=sql-server-ver17"
"EXTENDED_EVENTS","OPERATIONS","XE sessions targets events deadlocks and blocked processes","IMPLEMENTED_DEEP","Extended Events procedure family","Time-bound sessions are WI-0005","KEEP","P1","Existing XE modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/extended-events/extended-events?view=sql-server-ver17"
"TIME_BOUND_XE","OPERATIONS","SQL Server 2025 MAX_DURATION for XE sessions","RESEARCHED_NOT_IMPLEMENTED","WI-0005 is researched","Implement catalog and runtime state without session mutation","REGISTERED_ROADMAP","P2","WI-0005","SQL Server 2025 positive fallback older","https://learn.microsoft.com/en-us/sql/relational-databases/extended-events/sql-server-extended-events-sessions?view=sql-server-ver17"
"DEFAULT_TRACE_SQL_TRACE","OPERATIONS","Legacy default trace SQL Trace and Profiler dependency","RESEARCHED_NOT_IMPLEMENTED","XE readers do not inventory legacy trace dependency","Identify enabled traces and migration relevance without reading trace payload by default","DOSSIER_CANDIDATE","P3","USP_ExtendedEventsAnalysis extension","SQL Server 2019+ legacy","https://learn.microsoft.com/en-us/sql/database-engine/deprecated-database-engine-features-in-sql-server-2025?view=sql-server-ver17"
"CRITICAL_ENGINE_EVENTS","OPERATIONS","system_health severe engine events dumps and diagnostics","IMPLEMENTED_DEEP","USP_CriticalEngineEvents","OS dump files and support bundles remain external","KEEP","P0","USP_CriticalEngineEvents","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/extended-events/use-the-system-health-session?view=sql-server-ver17"
"SNAPSHOT_COLLECTION","OPERATIONS","Local snapshot collection retention budget and purge","PARTIAL_PRODUCT_FUNCTION","SC-023 package is implemented for performance counters","Additional collectors rollups and scheduler remain","COMPLETE_EXISTING","P1","SC-023-EXPANSION","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/performance-monitor/monitor-resource-usage-system-monitor?view=sql-server-ver17"
"RESTORE_HOST_PROOF","OPERATIONS","Test restore CHECKDB host storage and network proof","EXTERNAL_EVIDENCE_REQUIRED","SC-025 runbook boundary exists","Execute only on an authorized isolated target","EXTERNAL_COMPONENT","P1","SC-025","External environment","https://learn.microsoft.com/en-us/sql/relational-databases/backup-restore/restore-and-recovery-overview-sql-server?view=sql-server-ver17"
"CHANGE_TRACKING_CDC","INTEGRATION","Change Tracking CDC capture cleanup retention and consumer boundaries","IMPLEMENTED_DEEP","USP_DataCaptureStatus and USP_DataCaptureDeepAnalysis","Consumer watermark remains required for loss claims","KEEP","P1","Existing data-capture modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/track-changes/track-data-changes-sql-server?view=sql-server-ver17"
"CHANGE_EVENT_STREAMING","INTEGRATION","SQL Server 2025 Change Event Streaming configuration and runtime","RESEARCHED_NOT_IMPLEMENTED","CDC and replication modules do not cover CES","Inventory stream groups destinations and delivery state without credentials or payloads","DOSSIER_CANDIDATE","P2","USP_DataCaptureDeepAnalysis extension","SQL Server 2025 preview","https://learn.microsoft.com/en-us/sql/relational-databases/track-changes/change-event-streaming/frequently-asked-questions-faq?view=sql-server-ver17"
"FABRIC_MIRRORING","INTEGRATION","Mirroring from SQL Server to Microsoft Fabric","RESEARCHED_NOT_IMPLEMENTED","No Fabric source-side status analysis","Separate SQL-visible change-feed state from external Fabric capacity gateway and destination evidence","DOSSIER_CANDIDATE","P2","Data-capture module plus external adapter","SQL Server 2016+ and Fabric","https://learn.microsoft.com/en-us/fabric/mirroring/sql-server-faq"
"EXTERNAL_DATA_POLYBASE","INTEGRATION","PolyBase external data sources formats tables and runtime","RESEARCHED_NOT_IMPLEMENTED","WI-0009 is researched and external runtime covers language execution only","Implement local catalog analysis before any optional remote evidence","REGISTERED_ROADMAP","P2","WI-0009","SQL Server 2019+ platform adaptive","https://learn.microsoft.com/en-us/sql/relational-databases/polybase/polybase-guide?view=sql-server-ver17"
"EXTERNAL_REST_ENDPOINT","INTEGRATION","sp_invoke_external_rest_endpoint configuration dependencies and observed use","RESEARCHED_NOT_IMPLEMENTED","No REST endpoint analysis","Inventory capability credentials dependencies and bounded evidence without invoking endpoints","DOSSIER_CANDIDATE","P2","New external integration module","SQL Server 2025","https://learn.microsoft.com/en-us/sql/relational-databases/system-stored-procedures/sp-invoke-external-rest-endpoint-transact-sql?view=sql-server-ver17"
"SSIS_PACKAGES","INTEGRATION","SSIS package static and runtime analysis","RESEARCHED_NOT_IMPLEMENTED","SSIS-001 Phase 0 contract exists","Implement parser rule engine adapters and platform evidence in sequence","REGISTERED_ROADMAP","P2","SSIS-001","SSIS and external package artifacts","https://learn.microsoft.com/en-us/sql/integration-services/sql-server-integration-services?view=sql-server-ver17"
"MACHINE_LEARNING_SERVICES","INTEGRATION","Machine Learning Services languages libraries pools and active requests","IMPLEMENTED_DEEP","USP_ExternalRuntimeAnalysis","External package and script correctness remain outside scope","KEEP","P2","USP_ExternalRuntimeAnalysis","Optional component Windows and Linux","https://learn.microsoft.com/en-us/sql/machine-learning/sql-server-machine-learning-services?view=sql-server-ver17"
"DQS_MDS_LEGACY","INTEGRATION","Data Quality Services and Master Data Services legacy footprint","RESEARCHED_NOT_IMPLEMENTED","No explicit legacy-component inventory","Name migration and retirement risk because both are discontinued in SQL Server 2025","DOSSIER_CANDIDATE","P3","USP_ServerFeatureCapabilities or portability module","SQL Server 2022 and earlier source estates","https://learn.microsoft.com/en-us/sql/sql-server/what-s-new-in-sql-server-2025?view=sql-server-ver17"
"SSAS","EXTERNAL_SCOPE","SQL Server Analysis Services","OUT_OF_SCOPE","Repository targets Database Engine diagnostics","Separate product runtime and metadata require their own project contract","EXPLICIT_EXCLUSION","NA","Separate product","External component","https://learn.microsoft.com/en-us/analysis-services/ssas-overview?view=sql-analysis-services-2025"
"REPORTING_SERVICES","EXTERNAL_SCOPE","Power BI Report Server and legacy Reporting Services","OUT_OF_SCOPE","Repository targets Database Engine diagnostics","Separate service catalog and execution logs require their own project contract","EXPLICIT_EXCLUSION","NA","Separate product","External component","https://learn.microsoft.com/en-us/power-bi/report-server/get-started"
"CLIENT_DRIVER_APPLICATION","EXTERNAL_SCOPE","Drivers connection pools retry logic and application semantics","OUT_OF_SCOPE","Engine sessions expose only bounded runtime context","Client configuration and code need external application evidence","EXPLICIT_EXCLUSION","NA","Application observability","External clients","https://learn.microsoft.com/en-us/sql/connect/sql-connection-libraries?view=sql-server-ver17"
"AZURE_SQL_PLATFORMS","EXTERNAL_SCOPE","Azure SQL Database and Azure SQL Managed Instance","OUT_OF_SCOPE","Roadmap is explicitly SQL Server 2019+ on-prem VM and containers","Create a separate registered platform-expansion initiative before adapting contracts","EXPLICIT_EXCLUSION","NA","Separate platform initiative","Azure PaaS","https://learn.microsoft.com/en-us/azure/azure-sql/azure-sql-iaas-vs-paas-what-is-overview"
